Person	Distance
4970	2378.339161065443
3640	3982.1084615943014
4971	3782.0233872660037
2306	7471.541891322392
3638	3943.1183576198982
4969	5362.96590904838
2305	2006.8752458378299
3639	3318.5933981896505
2304	5084.096951779711
2303	6132.5593743449845
2302	8039.55306737651
2301	5637.295636211573
2300	3031.759363867809
3630	1370.656119799761
4961	2546.3783924505988
3631	2812.890361429532
4962	7774.450454916382
3632	2165.1387682416275
4963	1498.4214121524055
3633	5584.862598449687
4964	5314.221238641869
3634	6209.2758452036605
4965	4209.613739289318
2309	4232.655238643222
3635	1168.0942685239584
4966	3670.3857912922495
2308	3617.216930333487
3636	2473.1339684786967
4967	2192.4657325637036
2307	3247.2079537648697
3637	4233.346248143875
4968	8142.361912849546
4980	4126.378291844739
3650	1841.8642361311743
4981	601.4439487303869
3651	2297.7768180717385
4982	1751.1189353728819
2320	1811.203522977977
0	564.2824443479271
2317	4476.1222535942115
3649	4277.313167782898
1	1004.2057850794063
2316	4298.502822737921
2	7015.7862620923215
2315	8178.062447024862
2314	1569.8471823149737
3	6010.422010476974
2313	5460.580903307486
4	1590.5811698968369
2312	2785.2516860197866
5	4421.144106459296
2311	4211.8247511772115
6	4658.156518156118
2310	6517.026014988925
7	7629.994717253945
3641	6219.355262371681
4972	9981.612796001784
8	7420.599348205842
3642	5016.375251714979
4973	917.4066274453382
9	8533.911839120497
3643	2199.8792628975652
4974	1234.5633917545292
3644	5110.762672534039
4975	4051.798034073745
3645	5335.04372466376
4976	2564.505245018747
3646	4287.258990834369
4977	4160.334845052936
2319	1144.7887354642494
3647	6029.074577459018
4978	4463.4099457080165
2318	844.9797448275299
3648	1148.7965993893852
4979	2712.4831564733213
4990	3502.3718544193207
3660	6271.411294207057
4991	2994.3876519387272
3661	6971.623260111972
4992	4245.518276306697
3662	4039.2955528494404
4993	2279.2757418866368
1000	9014.25266165136
2331	6205.8446242166565
2330	4087.610207200696
2328	1050.5868698822612
2327	6750.074483593556
2326	4992.8565562263975
2325	3030.5810882664828
2324	7014.034548837357
2323	6267.24376777048
2322	2213.056487566145
2321	5086.891306909904
3652	4263.835790860869
4983	8792.459164334025
3653	5715.57947480541
4984	3870.6835539022895
3654	856.7739118672247
4985	2919.677264277269
3655	1280.0295233528032
4986	5189.810767707459
3656	3901.8878524221695
4987	9221.121822091525
3657	3746.3029787146315
4988	7691.692131756146
3658	639.0779407785412
4989	2914.532565201387
2329	5301.3757812798485
3659	7280.30393077871
3670	8276.399698766858
3671	5545.153803219317
3672	1131.6252171360788
3673	3923.109122875944
1011	2410.994912814059
2342	2408.642511960471
1010	6541.867862132185
2341	2753.681010867771
2340	6185.385365042519
1008	2642.428014636933
2339	4076.4501416207613
1007	7119.566528908084
2338	8851.449977650147
1006	326.8196345355117
2337	9305.886208216318
1005	5118.4605486129385
2336	2940.774387935551
1004	3130.5586600874904
2335	3171.5975343133796
1003	5228.065100583767
2334	6300.430987927815
1002	3419.502147244183
2333	7143.597978448959
1001	3593.5199316399053
2332	5926.723848346711
3663	7759.817486070481
4994	4800.289572494972
3664	5071.531483323655
4995	5493.500829180568
3665	5411.527393712195
4996	6606.273094923667
3666	10883.218433643458
4997	7176.463406680012
3667	2625.2036211632876
4998	7836.238565233316
3668	5963.70115565611
4999	3673.218259910948
3669	3155.694175851603
1009	11012.794185851815
3680	1748.0657199218658
3681	3674.4205595182157
3682	6101.53346526699
3683	1661.978268380517
3684	5440.845478770794
1022	1799.9469308592804
2353	3427.669146018192
1021	5318.694024969528
2352	5599.125745533029
1020	8824.998194534186
2351	3795.4642520116968
2350	1550.9934164898978
