Person	Distance
4970	1814.132197635596
3640	945.6038283961473
4971	88.400595042184
2306	1837.3268566037464
3638	995.2124267694128
4969	1950.318843329517
2305	2969.119260601434
3639	2300.476351436191
2304	2497.3107261575988
2303	2343.0877730687107
2302	2084.2845816750837
2301	2305.669048550629
2300	1563.756424194651
3630	1526.2572156565566
4961	2343.0877730687107
3631	2084.1804566663864
4962	1072.3547889570293
3632	4473.020517750792
4963	2154.2919399819025
3633	1113.146692713533
4964	1675.3026786263513
3634	2408.6925117496457
4965	2557.2618815512146
2309	1822.6468483503563
3635	2686.6528499425167
4966	2507.270008197255
2308	1972.128519610057
3636	1750.8742865250144
4967	2685.6110618233074
2307	1672.263822370163
3637	3058.185127383971
4968	3136.639805237748
4980	1578.158989176395
3650	2441.619967900846
4981	2549.8611186893177
3651	1411.117486900284
4982	2084.2845816750837
2320	1306.7738575116653
0	1626.7894382304914
2317	1772.560690609925
3649	2416.1056764277773
1	3313.6663512000086
2316	413.3591561678297
2	1833.115545519685
2315	1966.4482933662969
2314	1563.3384764693474
3	3414.905299868372
2313	1190.3416386044114
4	1615.6751333371744
2312	1792.4955802810653
5	529.0813024529018
2311	1626.7894382304914
6	1878.962634433506
2310	2015.1382606055033
7	1615.6751333371749
3641	926.6484846634647
4972	2942.7369641634555
8	2563.112015622708
3642	2126.6845150372033
4973	3165.552404715453
9	2157.897100394841
3643	1566.6452991384463
4974	2113.1912405059134
3644	2384.394089169575
4975	368.52787984514845
3645	3199.664618643972
4976	2007.0419424219433
3646	1706.1304835245674
4977	894.188481936329
2319	2186.248276118773
3647	1933.844812717367
4978	1905.143275788585
2318	856.8271776764625
3648	2505.580708316633
4979	3000.2755008715403
4990	1306.7738575116648
3660	1222.5190872465937
4991	1290.6641910564338
3661	1306.7738575116648
4992	1262.4885356492264
3662	1091.8562840626507
4993	2561.8276033223956
1000	3199.664618643971
2331	676.563748255573
2330	1093.5796442632075
2328	823.653412477269
2327	1698.1323195311534
2326	2153.8792285597833
2325	1834.6895183379304
2324	894.1884819363287
2323	1615.6751333371742
2322	3687.92460795111
