signal id;x;y;time;signal state
763;652965.8020270551;4946861.410030423;19046.0;GREEN
202;654538.4066623301;4946540.811418572;19046.0;GREEN
205;654501.7450862566;4946524.813642484;19046.0;RED
1866;654509.6311381037;4946514.599568103;19046.0;GREEN
1869;654491.2132318158;4946550.092172825;19046.0;RED
352;654510.3913899665;4946528.555217131;19046.0;GREEN
355;654473.8721333703;4946512.242822346;19046.0;RED
527;654515.7350875862;4946496.930319629;19066.0;GREEN
530;654499.9005263615;4946533.654630517;19066.0;RED
2153;652679.2672700504;4947686.42468062;19066.0;GREEN
2156;652643.4715158606;4947704.275130741;19066.0;RED
2157;652649.6968765225;4947701.159576189;19066.0;RED
2160;652613.7229381826;4947718.648865293;19066.0;GREEN
763;652965.8020270551;4946861.410030423;19066.0;GREEN
202;654538.4066623301;4946540.811418572;19066.0;RED
205;654501.7450862566;4946524.813642484;19066.0;GREEN
1866;654509.6311381037;4946514.599568103;19066.0;RED
1869;654491.2132318158;4946550.092172825;19066.0;GREEN
352;654510.3913899665;4946528.555217131;19066.0;RED
355;654473.8721333703;4946512.242822346;19066.0;GREEN
527;654515.7350875862;4946496.930319629;19086.0;RED
530;654499.9005263615;4946533.654630517;19086.0;GREEN
2153;652679.2672700504;4947686.42468062;19086.0;RED
2156;652643.4715158606;4947704.275130741;19086.0;GREEN
2157;652649.6968765225;4947701.159576189;19086.0;GREEN
2160;652613.7229381826;4947718.648865293;19086.0;RED
763;652965.8020270551;4946861.410030423;19086.0;GREEN
202;654538.4066623301;4946540.811418572;19086.0;GREEN
205;654501.7450862566;4946524.813642484;19086.0;RED
1866;654509.6311381037;4946514.599568103;19086.0;GREEN
1869;654491.2132318158;4946550.092172825;19086.0;RED
352;654510.3913899665;4946528.555217131;19086.0;GREEN
355;654473.8721333703;4946512.242822346;19086.0;RED
527;654515.7350875862;4946496.930319629;19106.0;GREEN
530;654499.9005263615;4946533.654630517;19106.0;RED
2153;652679.2672700504;4947686.42468062;19106.0;GREEN
2156;652643.4715158606;4947704.275130741;19106.0;RED
2157;652649.6968765225;4947701.159576189;19106.0;RED
2160;652613.7229381826;4947718.648865293;19106.0;GREEN
763;652965.8020270551;4946861.410030423;19106.0;GREEN
202;654538.4066623301;4946540.811418572;19106.0;RED
205;654501.7450862566;4946524.813642484;19106.0;GREEN
1866;654509.6311381037;4946514.599568103;19106.0;RED
1869;654491.2132318158;4946550.092172825;19106.0;GREEN
352;654510.3913899665;4946528.555217131;19106.0;RED
355;654473.8721333703;4946512.242822346;19106.0;GREEN
527;654515.7350875862;4946496.930319629;19126.0;RED
530;654499.9005263615;4946533.654630517;19126.0;GREEN
2153;652679.2672700504;4947686.42468062;19126.0;RED
2156;652643.4715158606;4947704.275130741;19126.0;GREEN
2157;652649.6968765225;4947701.159576189;19126.0;GREEN
2160;652613.7229381826;4947718.648865293;19126.0;RED
763;652965.8020270551;4946861.410030423;19126.0;GREEN
202;654538.4066623301;4946540.811418572;19126.0;GREEN
205;654501.7450862566;4946524.813642484;19126.0;RED
1866;654509.6311381037;4946514.599568103;19126.0;GREEN
1869;654491.2132318158;4946550.092172825;19126.0;RED
352;654510.3913899665;4946528.555217131;19126.0;GREEN
355;654473.8721333703;4946512.242822346;19126.0;RED
527;654515.7350875862;4946496.930319629;19146.0;GREEN
530;654499.9005263615;4946533.654630517;19146.0;RED
2153;652679.2672700504;4947686.42468062;19146.0;GREEN
2156;652643.4715158606;4947704.275130741;19146.0;RED
2157;652649.6968765225;4947701.159576189;19146.0;RED
2160;652613.7229381826;4947718.648865293;19146.0;GREEN
763;652965.8020270551;4946861.410030423;19146.0;GREEN
202;654538.4066623301;4946540.811418572;19146.0;RED
205;654501.7450862566;4946524.813642484;19146.0;GREEN
1866;654509.6311381037;4946514.599568103;19146.0;RED
1869;654491.2132318158;4946550.092172825;19146.0;GREEN
352;654510.3913899665;4946528.555217131;19146.0;RED
355;654473.8721333703;4946512.242822346;19146.0;GREEN
527;654515.7350875862;4946496.930319629;19166.0;RED
530;654499.9005263615;4946533.654630517;19166.0;GREEN
2153;652679.2672700504;4947686.42468062;19166.0;RED
2156;652643.4715158606;4947704.275130741;19166.0;GREEN
2157;652649.6968765225;4947701.159576189;19166.0;GREEN
2160;652613.7229381826;4947718.648865293;19166.0;RED
763;652965.8020270551;4946861.410030423;19166.0;GREEN
202;654538.4066623301;4946540.811418572;19166.0;GREEN
205;654501.7450862566;4946524.813642484;19166.0;RED
1866;654509.6311381037;4946514.599568103;19166.0;GREEN
1869;654491.2132318158;4946550.092172825;19166.0;RED
352;654510.3913899665;4946528.555217131;19166.0;GREEN
355;654473.8721333703;4946512.242822346;19166.0;RED
527;654515.7350875862;4946496.930319629;19186.0;GREEN
530;654499.9005263615;4946533.654630517;19186.0;RED
2153;652679.2672700504;4947686.42468062;19186.0;GREEN
2156;652643.4715158606;4947704.275130741;19186.0;RED
2157;652649.6968765225;4947701.159576189;19186.0;RED
2160;652613.7229381826;4947718.648865293;19186.0;GREEN
763;652965.8020270551;4946861.410030423;19186.0;GREEN
202;654538.4066623301;4946540.811418572;19186.0;RED
205;654501.7450862566;4946524.813642484;19186.0;GREEN
1866;654509.6311381037;4946514.599568103;19186.0;RED
1869;654491.2132318158;4946550.092172825;19186.0;GREEN
352;654510.3913899665;4946528.555217131;19186.0;RED
355;654473.8721333703;4946512.242822346;19186.0;GREEN
527;654515.7350875862;4946496.930319629;19206.0;RED
530;654499.9005263615;4946533.654630517;19206.0;GREEN
2153;652679.2672700504;4947686.42468062;19206.0;RED
2156;652643.4715158606;4947704.275130741;19206.0;GREEN
2157;652649.6968765225;4947701.159576189;19206.0;GREEN
2160;652613.7229381826;4947718.648865293;19206.0;RED
763;652965.8020270551;4946861.410030423;19206.0;GREEN
202;654538.4066623301;4946540.811418572;19206.0;GREEN
205;654501.7450862566;4946524.813642484;19206.0;RED
1866;654509.6311381037;4946514.599568103;19206.0;GREEN
1869;654491.2132318158;4946550.092172825;19206.0;RED
352;654510.3913899665;4946528.555217131;19206.0;GREEN
355;654473.8721333703;4946512.242822346;19206.0;RED
527;654515.7350875862;4946496.930319629;19226.0;GREEN
530;654499.9005263615;4946533.654630517;19226.0;RED
2153;652679.2672700504;4947686.42468062;19226.0;GREEN
2156;652643.4715158606;4947704.275130741;19226.0;RED
2157;652649.6968765225;4947701.159576189;19226.0;RED
2160;652613.7229381826;4947718.648865293;19226.0;GREEN
763;652965.8020270551;4946861.410030423;19226.0;GREEN
202;654538.4066623301;4946540.811418572;19226.0;RED
205;654501.7450862566;4946524.813642484;19226.0;GREEN
1866;654509.6311381037;4946514.599568103;19226.0;RED
1869;654491.2132318158;4946550.092172825;19226.0;GREEN
352;654510.3913899665;4946528.555217131;19226.0;RED
355;654473.8721333703;4946512.242822346;19226.0;GREEN
527;654515.7350875862;4946496.930319629;19246.0;RED
530;654499.9005263615;4946533.654630517;19246.0;GREEN
2153;652679.2672700504;4947686.42468062;19246.0;RED
2156;652643.4715158606;4947704.275130741;19246.0;GREEN
2157;652649.6968765225;4947701.159576189;19246.0;GREEN
2160;652613.7229381826;4947718.648865293;19246.0;RED
763;652965.8020270551;4946861.410030423;19246.0;GREEN
202;654538.4066623301;4946540.811418572;19246.0;GREEN
205;654501.7450862566;4946524.813642484;19246.0;RED
1866;654509.6311381037;4946514.599568103;19246.0;GREEN
1869;654491.2132318158;4946550.092172825;19246.0;RED
352;654510.3913899665;4946528.555217131;19246.0;GREEN
355;654473.8721333703;4946512.242822346;19246.0;RED
527;654515.7350875862;4946496.930319629;19266.0;GREEN
530;654499.9005263615;4946533.654630517;19266.0;RED
2153;652679.2672700504;4947686.42468062;19266.0;GREEN
2156;652643.4715158606;4947704.275130741;19266.0;RED
2157;652649.6968765225;4947701.159576189;19266.0;RED
2160;652613.7229381826;4947718.648865293;19266.0;GREEN
763;652965.8020270551;4946861.410030423;19266.0;GREEN
202;654538.4066623301;4946540.811418572;19266.0;RED
205;654501.7450862566;4946524.813642484;19266.0;GREEN
1866;654509.6311381037;4946514.599568103;19266.0;RED
1869;654491.2132318158;4946550.092172825;19266.0;GREEN
352;654510.3913899665;4946528.555217131;19266.0;RED
355;654473.8721333703;4946512.242822346;19266.0;GREEN
527;654515.7350875862;4946496.930319629;19286.0;RED
530;654499.9005263615;4946533.654630517;19286.0;GREEN
2153;652679.2672700504;4947686.42468062;19286.0;RED
2156;652643.4715158606;4947704.275130741;19286.0;GREEN
2157;652649.6968765225;4947701.159576189;19286.0;GREEN
2160;652613.7229381826;4947718.648865293;19286.0;RED
763;652965.8020270551;4946861.410030423;19286.0;GREEN
202;654538.4066623301;4946540.811418572;19286.0;GREEN
205;654501.7450862566;4946524.813642484;19286.0;RED
1866;654509.6311381037;4946514.599568103;19286.0;GREEN
1869;654491.2132318158;4946550.092172825;19286.0;RED
352;654510.3913899665;4946528.555217131;19286.0;GREEN
355;654473.8721333703;4946512.242822346;19286.0;RED
527;654515.7350875862;4946496.930319629;19306.0;GREEN
530;654499.9005263615;4946533.654630517;19306.0;RED
2153;652679.2672700504;4947686.42468062;19306.0;GREEN
2156;652643.4715158606;4947704.275130741;19306.0;RED
2157;652649.6968765225;4947701.159576189;19306.0;RED
2160;652613.7229381826;4947718.648865293;19306.0;GREEN
763;652965.8020270551;4946861.410030423;19306.0;GREEN
202;654538.4066623301;4946540.811418572;19306.0;RED
205;654501.7450862566;4946524.813642484;19306.0;GREEN
1866;654509.6311381037;4946514.599568103;19306.0;RED
1869;654491.2132318158;4946550.092172825;19306.0;GREEN
352;654510.3913899665;4946528.555217131;19306.0;RED
355;654473.8721333703;4946512.242822346;19306.0;GREEN
527;654515.7350875862;4946496.930319629;19326.0;RED
530;654499.9005263615;4946533.654630517;19326.0;GREEN
2153;652679.2672700504;4947686.42468062;19326.0;RED
2156;652643.4715158606;4947704.275130741;19326.0;GREEN
2157;652649.6968765225;4947701.159576189;19326.0;GREEN
2160;652613.7229381826;4947718.648865293;19326.0;RED
763;652965.8020270551;4946861.410030423;19326.0;GREEN
202;654538.4066623301;4946540.811418572;19326.0;GREEN
205;654501.7450862566;4946524.813642484;19326.0;RED
1866;654509.6311381037;4946514.599568103;19326.0;GREEN
1869;654491.2132318158;4946550.092172825;19326.0;RED
352;654510.3913899665;4946528.555217131;19326.0;GREEN
355;654473.8721333703;4946512.242822346;19326.0;RED
527;654515.7350875862;4946496.930319629;19346.0;GREEN
530;654499.9005263615;4946533.654630517;19346.0;RED
2153;652679.2672700504;4947686.42468062;19346.0;GREEN
2156;652643.4715158606;4947704.275130741;19346.0;RED
2157;652649.6968765225;4947701.159576189;19346.0;RED
2160;652613.7229381826;4947718.648865293;19346.0;GREEN
763;652965.8020270551;4946861.410030423;19346.0;GREEN
202;654538.4066623301;4946540.811418572;19346.0;RED
205;654501.7450862566;4946524.813642484;19346.0;GREEN
1866;654509.6311381037;4946514.599568103;19346.0;RED
1869;654491.2132318158;4946550.092172825;19346.0;GREEN
352;654510.3913899665;4946528.555217131;19346.0;RED
355;654473.8721333703;4946512.242822346;19346.0;GREEN
527;654515.7350875862;4946496.930319629;19366.0;RED
530;654499.9005263615;4946533.654630517;19366.0;GREEN
2153;652679.2672700504;4947686.42468062;19366.0;RED
2156;652643.4715158606;4947704.275130741;19366.0;GREEN
2157;652649.6968765225;4947701.159576189;19366.0;GREEN
2160;652613.7229381826;4947718.648865293;19366.0;RED
763;652965.8020270551;4946861.410030423;19366.0;GREEN
202;654538.4066623301;4946540.811418572;19366.0;GREEN
205;654501.7450862566;4946524.813642484;19366.0;RED
1866;654509.6311381037;4946514.599568103;19366.0;GREEN
1869;654491.2132318158;4946550.092172825;19366.0;RED
352;654510.3913899665;4946528.555217131;19366.0;GREEN
355;654473.8721333703;4946512.242822346;19366.0;RED
527;654515.7350875862;4946496.930319629;19386.0;GREEN
530;654499.9005263615;4946533.654630517;19386.0;RED
2153;652679.2672700504;4947686.42468062;19386.0;GREEN
2156;652643.4715158606;4947704.275130741;19386.0;RED
2157;652649.6968765225;4947701.159576189;19386.0;RED
2160;652613.7229381826;4947718.648865293;19386.0;GREEN
763;652965.8020270551;4946861.410030423;19386.0;GREEN
202;654538.4066623301;4946540.811418572;19386.0;RED
205;654501.7450862566;4946524.813642484;19386.0;GREEN
1866;654509.6311381037;4946514.599568103;19386.0;RED
1869;654491.2132318158;4946550.092172825;19386.0;GREEN
352;654510.3913899665;4946528.555217131;19386.0;RED
355;654473.8721333703;4946512.242822346;19386.0;GREEN
527;654515.7350875862;4946496.930319629;19406.0;RED
530;654499.9005263615;4946533.654630517;19406.0;GREEN
2153;652679.2672700504;4947686.42468062;19406.0;RED
2156;652643.4715158606;4947704.275130741;19406.0;GREEN
2157;652649.6968765225;4947701.159576189;19406.0;GREEN
2160;652613.7229381826;4947718.648865293;19406.0;RED
763;652965.8020270551;4946861.410030423;19406.0;GREEN
202;654538.4066623301;4946540.811418572;19406.0;GREEN
205;654501.7450862566;4946524.813642484;19406.0;RED
1866;654509.6311381037;4946514.599568103;19406.0;GREEN
1869;654491.2132318158;4946550.092172825;19406.0;RED
352;654510.3913899665;4946528.555217131;19406.0;GREEN
355;654473.8721333703;4946512.242822346;19406.0;RED
527;654515.7350875862;4946496.930319629;19426.0;GREEN
530;654499.9005263615;4946533.654630517;19426.0;RED
2153;652679.2672700504;4947686.42468062;19426.0;GREEN
2156;652643.4715158606;4947704.275130741;19426.0;RED
2157;652649.6968765225;4947701.159576189;19426.0;RED
2160;652613.7229381826;4947718.648865293;19426.0;GREEN
763;652965.8020270551;4946861.410030423;19426.0;GREEN
202;654538.4066623301;4946540.811418572;19426.0;RED
205;654501.7450862566;4946524.813642484;19426.0;GREEN
1866;654509.6311381037;4946514.599568103;19426.0;RED
1869;654491.2132318158;4946550.092172825;19426.0;GREEN
352;654510.3913899665;4946528.555217131;19426.0;RED
355;654473.8721333703;4946512.242822346;19426.0;GREEN
527;654515.7350875862;4946496.930319629;19446.0;RED
530;654499.9005263615;4946533.654630517;19446.0;GREEN
2153;652679.2672700504;4947686.42468062;19446.0;RED
2156;652643.4715158606;4947704.275130741;19446.0;GREEN
2157;652649.6968765225;4947701.159576189;19446.0;GREEN
2160;652613.7229381826;4947718.648865293;19446.0;RED
763;652965.8020270551;4946861.410030423;19446.0;GREEN
202;654538.4066623301;4946540.811418572;19446.0;GREEN
205;654501.7450862566;4946524.813642484;19446.0;RED
1866;654509.6311381037;4946514.599568103;19446.0;GREEN
1869;654491.2132318158;4946550.092172825;19446.0;RED
