Person	Distance
4970	2200.674994525029
3640	2296.9596178069273
4971	1052.2362037441499
2306	1686.6946286823854
3638	2908.5594846525346
4969	131.40662786781252
2305	2122.151930412485
3639	3862.028752813175
2304	1063.2009197489856
2303	1858.9415251187372
2302	1479.988070406997
2301	3229.761449424125
2300	1403.6358567061966
3630	2324.8755907654263
4961	1111.8020947727778
3631	5458.610470714721
4962	3512.18160436934
3632	0.0
4963	447.3347543754455
3633	1982.175320168836
4964	3789.7654920649784
3634	528.7026351564767
4965	353.0270978116324
2309	2959.2819797210313
3635	4216.959275602095
4966	1970.0427373102443
2308	819.991967911752
3636	1751.1691884441789
4967	4131.468877897028
2307	4441.820831391531
3637	0.0
4968	3778.0746967948708
4980	2368.7815901269364
3650	3543.4168717244547
4981	1236.0594662860426
3651	2029.1699885579371
4982	3827.2996790981315
2320	2554.272386729226
0	3292.296540453164
2317	1663.159903853435
3649	1972.128519610057
1	1076.5618770996966
2316	3299.4145467454496
2	590.4294623506335
2315	2897.99522835533
2314	6301.037238990662
3	2929.0435782525547
2313	522.2143629144584
4	1914.086917905906
2312	4539.02672150722
5	2652.5315809132226
2311	1028.7099931900707
6	2247.1613845155343
2310	2097.1528266145206
7	3879.9614066909708
3641	1770.4731838569717
4972	3347.2735153638437
8	5904.314130109062
3642	4134.34352290487
4973	4195.6881345511265
9	0.0
3643	63.76912122818173
4974	2337.843066331867
3644	225.96477555511564
4975	2997.0972970026733
3645	4065.6992728059276
4976	0.0
3646	4948.877891741619
4977	3731.46746471052
2319	3492.646307000092
3647	4557.8392417282885
4978	2365.3847585360977
2318	1801.0230427405832
3648	0.0
4979	3136.8036464597326
4990	4859.38363441256
3660	3712.4414036405115
4991	3358.8111731486406
3661	3686.48137740896
4992	2477.102643295011
3662	2633.476571801556
4993	3866.76002531622
1000	1838.9259107841071
2331	3997.0206517939537
2330	2477.1026432950116
2328	759.3316094790181
2327	5033.097726558057
2326	3670.9081267203646
2325	3199.664618643972
2324	3458.7741050232835
2323	2812.382682188688
2322	3723.2508594684623
2321	3292.5021152437366
3652	2313.1602444860123
4983	1817.4704584791807
3653	2103.970430819825
4984	3764.55623715414
3654	0.0
4985	3904.7924690106365
3655	1742.4867757094812
4986	0.0
3656	4721.418819024473
4987	3965.704634584612
3657	4721.418819024473
4988	4226.093067786189
3658	3756.977055251854
4989	1409.9366393674914
2329	3305.890842356792
3659	372.52440083973954
3670	6146.451277988919
3671	940.0376140474463
3672	2357.009568448523
3673	4277.105350231664
1011	1398.5463804969877
2342	2089.964765416759
1010	1282.4714274385756
2341	0.0
2340	1672.3235489673052
1008	2555.8084584350236
