Person	Distance
4970	4235.175192369614
3640	4429.181372847032
4971	8227.884866323784
2306	5794.979858926628
3638	6572.035407932908
4969	3907.965531498702
2305	4871.584640930083
3639	3878.466188696443
2304	11772.375865465827
2303	8015.416949971674
2302	9375.793627370866
2301	2057.298336837387
2300	1895.6022093137765
3630	0.0
4961	2399.8877834419363
3631	6026.78689956495
4962	3990.0156897270153
3632	2420.8927042166833
4963	4910.3515453616565
3633	6880.0071290404385
4964	9127.93150497475
3634	5398.8674963243275
4965	4515.838762023324
2309	10450.646710635927
3635	4991.734208052967
4966	2756.755225591126
2308	4704.824056047768
3636	8852.841952613726
4967	5849.715116558029
2307	3836.700337166123
3637	6316.935227416765
4968	6408.473382513566
4980	5928.622975824033
3650	3225.3804781464178
4981	5658.385786182525
3651	8088.021225310451
4982	7949.487234412902
2320	8930.305532857034
0	9609.08676058791
2317	5427.070931559996
3649	4157.554884467199
1	7078.205325887221
2316	3646.382336167432
2	5782.971833834985
2315	5170.361462306855
2314	5328.400390341774
3	2164.090115945101
2313	3877.0969658127924
4	6403.099259900274
2312	7518.589613906986
5	1864.1868511818434
2311	6478.72158338868
6	4496.515729536912
2310	2435.675289256741
7	2003.0560551129893
3641	3471.2634683376527
4972	4929.29363703015
8	4873.930851317209
3642	7869.043261685006
4973	2937.724751535141
9	3646.1184036820123
3643	2955.1078019934766
4974	6741.851034342457
3644	8237.794785199645
4975	4115.681459193858
3645	8401.895164018752
4976	5068.048675421876
3646	1273.999856431132
4977	5129.250522192033
2319	7343.556608082416
3647	1897.1627451555648
4978	6510.975005874332
2318	5806.507558919386
3648	3882.633931216781
4979	6130.498031291007
4990	2788.0500934715546
3660	6564.059876005743
4991	10442.107607929102
3661	2651.1444031793976
4992	5157.417546077257
3662	3419.032589236548
4993	5400.825115426687
1000	5315.23376905224
2331	7277.054410604334
2330	9051.671140061644
2328	8431.81273727881
2327	2144.927108718623
2326	834.4332530135395
2325	8502.434157934635
2324	3794.480675847397
2323	0.0
2322	3768.1415840486898
2321	6588.303866151756
3652	3187.3273182108883
4983	5000.628069555742
3653	3525.9599825836913
4984	2906.678205442904
3654	4089.994855384658
4985	2651.824966338995
3655	6357.308091015051
4986	7213.425572314805
3656	7250.05683147965
4987	6556.213188628213
3657	9007.581994117536
4988	1522.8251949384157
3658	4667.530011237173
4989	2373.4795910118273
2329	8459.476054297895
3659	3234.0566193749455
3670	2109.0864032127283
3671	4653.783712380415
3672	858.7565957541433
3673	5405.34226492374
1011	2818.5952435864333
