15:28:46.656 INFO  - initializing database
15:28:46.659 INFO  - loading database... 
15:28:46.966 INFO  - success

15:28:46.990 INFO  - parsing net file
15:28:47.378 INFO  - checking existing routes
15:28:47.388 INFO  - no route file for import given, ignoring!
15:28:47.566 INFO  - Saving 1300 nodes...
15:28:47.593 INFO  - Saving 2200 ways...
15:28:47.652 INFO  - Saving 2200 connections...
15:28:47.705 INFO  - Saving 984 restrictions...
15:28:47.727 INFO  - Saving 10 routes...
15:28:47.741 INFO  - Saving 0 roundabouts...
15:28:47.742 INFO  - Saving 0 buildings...
15:28:47.743 INFO  - Create Indices
15:28:47.744 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
15:28:47.746 INFO  - finished
