15:19:39.441 INFO  - initializing database
15:19:39.454 INFO  - parsing net file
15:19:39.868 INFO  - checking existing routes
15:19:39.869 INFO  - no route file for import given, ignoring!
15:19:40.111 INFO  - Saving 1300 nodes...
15:19:40.136 INFO  - Saving 2200 ways...
15:19:40.185 INFO  - Saving 2200 connections...
15:19:40.227 INFO  - Saving 984 restrictions...
15:19:40.239 INFO  - Saving 0 routes...
15:19:40.240 INFO  - Saving 0 roundabouts...
15:19:40.240 INFO  - Saving 0 buildings...
15:19:40.240 INFO  - Create Indices
15:19:40.243 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
15:19:40.243 INFO  - finished
