09:20:16.293 INFO  - initializing database
09:20:16.309 INFO  - parsing net file
09:20:16.777 INFO  - checking existing routes
09:20:16.778 INFO  - no route file for import given, ignoring!
09:20:17.044 INFO  - Saving 1300 nodes...
09:20:17.065 INFO  - Saving 2200 ways...
09:20:17.110 INFO  - Saving 2200 connections...
09:20:17.148 INFO  - Saving 984 restrictions...
09:20:17.159 INFO  - Saving 0 routes...
09:20:17.159 INFO  - Saving 0 roundabouts...
09:20:17.160 INFO  - Saving 0 buildings...
09:20:17.160 INFO  - Create Indices
09:20:17.162 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
09:20:17.163 INFO  - finished
