"filename", "language", "Log", "XML", "Java", "JSON", "Java Properties", "Python", "comment", "blank", "total"
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/create_route.py", "Python", 0, 0, 0, 0, 0, 23, 13, 6, 42
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mappe/10_mapping_config.json", "JSON", 0, 0, 0, 506, 0, 0, 0, 1, 507
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mappe/25_mapping_config.json", "JSON", 0, 0, 0, 506, 0, 0, 0, 0, 506
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mappe/40_mapping_config.json", "JSON", 0, 0, 0, 506, 0, 0, 0, 1, 507
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mappe/60_mapping_config.json", "JSON", 0, 0, 0, 506, 0, 0, 0, 0, 506
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mappe/75_mapping_config.json", "JSON", 0, 0, 0, 706, 0, 0, 0, 1, 707
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mapping_config copy.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 4, 40
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/mapping/mapping_config.json", "JSON", 0, 0, 0, 506, 0, 0, 0, 1, 507
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/output/output_config.xml", "XML", 0, 15, 0, 0, 0, 0, 35, 1, 51
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/scenario_config.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 1, 35
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/MASA.add.xml", "XML", 0, 443, 0, 0, 0, 0, 0, 3, 446
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/MASA.net.xml", "XML", 0, 33332, 0, 0, 0, 0, 13, 12, 33357
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/e2_5000.xml", "XML", 0, 2175, 0, 0, 0, 0, 21, 3, 2199
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans.rou.xml", "XML", 0, 5006, 0, 0, 0, 0, 0, 2, 5008
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans/10_plans.rou.xml", "XML", 0, 4514, 0, 0, 0, 0, 0, 1, 4515
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans/25_plans.rou.xml", "XML", 0, 3764, 0, 0, 0, 0, 0, 3, 3767
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans/40_plans.rou.xml", "XML", 0, 3014, 0, 0, 0, 0, 0, 2, 3016
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans/60_plans.rou.xml", "XML", 0, 2014, 0, 0, 0, 0, 0, 1, 2015
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/plans/75_plans.rou.xml", "XML", 0, 1264, 0, 0, 0, 0, 10, 2, 1276
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/rot.rou.xml", "XML", 0, 23, 0, 0, 0, 0, 0, 7, 30
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/route.rou.alt.xml", "XML", 0, 4999, 0, 0, 0, 0, 14, 3, 5016
"/home/riccardo/Scrivania/UNIVERSITA/tirocinio/eclipse-mosaic-22.1/scenarios/agenti/sumo/route.rou.xml", "XML", 0, 3001, 0, 0, 0, 0, 14, 3, 3018
"Total", "-", 1727, 63591, 712, 3399, 3, 70, 267, 291, 70060
