signal id;x;y;time;signal state
2740;652822.0787357499;4947264.619033705;18311.0;GREEN
1012;655339.4844049679;4946975.378187277;18311.0;GREEN
234;655859.0109021318;4946727.7545639;18311.0;GREEN
1349;656346.7529963334;4946416.853964044;18311.0;GREEN
2737;655128.5990877716;4946571.704542345;18331.0;GREEN
2740;652822.0787357499;4947264.619033705;18331.0;RED
1012;655339.4844049679;4946975.378187277;18331.0;RED
1317;656145.6964030864;4946131.52105845;18331.0;GREEN
234;655859.0109021318;4946727.7545639;18331.0;RED
237;655732.2047763302;4946414.741149341;18331.0;GREEN
1349;656346.7529963334;4946416.853964044;18331.0;RED
1352;656367.9389995578;4946450.760191332;18331.0;GREEN
2737;655128.5990877716;4946571.704542345;18351.0;RED
2740;652822.0787357499;4947264.619033705;18351.0;GREEN
1023;655423.2047331315;4947185.806566602;18351.0;GREEN
1317;656145.6964030864;4946131.52105845;18351.0;RED
234;655859.0109021318;4946727.7545639;18351.0;GREEN
237;655732.2047763302;4946414.741149341;18351.0;RED
1349;656346.7529963334;4946416.853964044;18351.0;GREEN
1352;656367.9389995578;4946450.760191332;18351.0;RED
2737;655128.5990877716;4946571.704542345;18371.0;GREEN
2740;652822.0787357499;4947264.619033705;18371.0;RED
1023;655423.2047331315;4947185.806566602;18371.0;RED
3387;653527.466424227;4946182.723026081;18371.0;GREEN
234;655859.0109021318;4946727.7545639;18371.0;RED
237;655732.2047763302;4946414.741149341;18371.0;GREEN
1349;656346.7529963334;4946416.853964044;18371.0;RED
1352;656367.9389995578;4946450.760191332;18371.0;GREEN
2737;655128.5990877716;4946571.704542345;18391.0;RED
2740;652822.0787357499;4947264.619033705;18391.0;GREEN
1012;655339.4844049679;4946975.378187277;18391.0;GREEN
3387;653527.466424227;4946182.723026081;18391.0;RED
234;655859.0109021318;4946727.7545639;18391.0;GREEN
237;655732.2047763302;4946414.741149341;18391.0;RED
1349;656346.7529963334;4946416.853964044;18391.0;GREEN
1352;656367.9389995578;4946450.760191332;18391.0;RED
2737;655128.5990877716;4946571.704542345;18411.0;GREEN
2740;652822.0787357499;4947264.619033705;18411.0;RED
1012;655339.4844049679;4946975.378187277;18411.0;RED
1317;656145.6964030864;4946131.52105845;18411.0;GREEN
234;655859.0109021318;4946727.7545639;18411.0;RED
237;655732.2047763302;4946414.741149341;18411.0;GREEN
1349;656346.7529963334;4946416.853964044;18411.0;RED
1352;656367.9389995578;4946450.760191332;18411.0;GREEN
2737;655128.5990877716;4946571.704542345;18431.0;RED
2740;652822.0787357499;4947264.619033705;18431.0;GREEN
1023;655423.2047331315;4947185.806566602;18431.0;GREEN
1317;656145.6964030864;4946131.52105845;18431.0;RED
234;655859.0109021318;4946727.7545639;18431.0;GREEN
237;655732.2047763302;4946414.741149341;18431.0;RED
1349;656346.7529963334;4946416.853964044;18431.0;GREEN
1352;656367.9389995578;4946450.760191332;18431.0;RED
2737;655128.5990877716;4946571.704542345;18451.0;GREEN
2740;652822.0787357499;4947264.619033705;18451.0;RED
1023;655423.2047331315;4947185.806566602;18451.0;RED
3387;653527.466424227;4946182.723026081;18451.0;GREEN
234;655859.0109021318;4946727.7545639;18451.0;RED
237;655732.2047763302;4946414.741149341;18451.0;GREEN
1349;656346.7529963334;4946416.853964044;18451.0;RED
1352;656367.9389995578;4946450.760191332;18451.0;GREEN
2737;655128.5990877716;4946571.704542345;18471.0;RED
2740;652822.0787357499;4947264.619033705;18471.0;GREEN
1012;655339.4844049679;4946975.378187277;18471.0;GREEN
3387;653527.466424227;4946182.723026081;18471.0;RED
234;655859.0109021318;4946727.7545639;18471.0;GREEN
237;655732.2047763302;4946414.741149341;18471.0;RED
1349;656346.7529963334;4946416.853964044;18471.0;GREEN
1352;656367.9389995578;4946450.760191332;18471.0;RED
2737;655128.5990877716;4946571.704542345;18491.0;GREEN
2740;652822.0787357499;4947264.619033705;18491.0;RED
1012;655339.4844049679;4946975.378187277;18491.0;RED
1317;656145.6964030864;4946131.52105845;18491.0;GREEN
234;655859.0109021318;4946727.7545639;18491.0;RED
237;655732.2047763302;4946414.741149341;18491.0;GREEN
1349;656346.7529963334;4946416.853964044;18491.0;RED
1352;656367.9389995578;4946450.760191332;18491.0;GREEN
2737;655128.5990877716;4946571.704542345;18511.0;RED
2740;652822.0787357499;4947264.619033705;18511.0;GREEN
1023;655423.2047331315;4947185.806566602;18511.0;GREEN
1317;656145.6964030864;4946131.52105845;18511.0;RED
234;655859.0109021318;4946727.7545639;18511.0;GREEN
237;655732.2047763302;4946414.741149341;18511.0;RED
1349;656346.7529963334;4946416.853964044;18511.0;GREEN
1352;656367.9389995578;4946450.760191332;18511.0;RED
2737;655128.5990877716;4946571.704542345;18531.0;GREEN
2740;652822.0787357499;4947264.619033705;18531.0;RED
1023;655423.2047331315;4947185.806566602;18531.0;RED
3387;653527.466424227;4946182.723026081;18531.0;GREEN
234;655859.0109021318;4946727.7545639;18531.0;RED
237;655732.2047763302;4946414.741149341;18531.0;GREEN
1349;656346.7529963334;4946416.853964044;18531.0;RED
1352;656367.9389995578;4946450.760191332;18531.0;GREEN
2737;655128.5990877716;4946571.704542345;18551.0;RED
2740;652822.0787357499;4947264.619033705;18551.0;GREEN
1012;655339.4844049679;4946975.378187277;18551.0;GREEN
3387;653527.466424227;4946182.723026081;18551.0;RED
234;655859.0109021318;4946727.7545639;18551.0;GREEN
237;655732.2047763302;4946414.741149341;18551.0;RED
1349;656346.7529963334;4946416.853964044;18551.0;GREEN
1352;656367.9389995578;4946450.760191332;18551.0;RED
2737;655128.5990877716;4946571.704542345;18571.0;GREEN
2740;652822.0787357499;4947264.619033705;18571.0;RED
1012;655339.4844049679;4946975.378187277;18571.0;RED
1317;656145.6964030864;4946131.52105845;18571.0;GREEN
234;655859.0109021318;4946727.7545639;18571.0;RED
237;655732.2047763302;4946414.741149341;18571.0;GREEN
1349;656346.7529963334;4946416.853964044;18571.0;RED
1352;656367.9389995578;4946450.760191332;18571.0;GREEN
2737;655128.5990877716;4946571.704542345;18591.0;RED
2740;652822.0787357499;4947264.619033705;18591.0;GREEN
1023;655423.2047331315;4947185.806566602;18591.0;GREEN
1317;656145.6964030864;4946131.52105845;18591.0;RED
234;655859.0109021318;4946727.7545639;18591.0;GREEN
237;655732.2047763302;4946414.741149341;18591.0;RED
1349;656346.7529963334;4946416.853964044;18591.0;GREEN
1352;656367.9389995578;4946450.760191332;18591.0;RED
2737;655128.5990877716;4946571.704542345;18611.0;GREEN
2740;652822.0787357499;4947264.619033705;18611.0;RED
1023;655423.2047331315;4947185.806566602;18611.0;RED
3387;653527.466424227;4946182.723026081;18611.0;GREEN
234;655859.0109021318;4946727.7545639;18611.0;RED
237;655732.2047763302;4946414.741149341;18611.0;GREEN
1349;656346.7529963334;4946416.853964044;18611.0;RED
1352;656367.9389995578;4946450.760191332;18611.0;GREEN
2737;655128.5990877716;4946571.704542345;18631.0;RED
2740;652822.0787357499;4947264.619033705;18631.0;GREEN
1012;655339.4844049679;4946975.378187277;18631.0;GREEN
3387;653527.466424227;4946182.723026081;18631.0;RED
234;655859.0109021318;4946727.7545639;18631.0;GREEN
237;655732.2047763302;4946414.741149341;18631.0;RED
1349;656346.7529963334;4946416.853964044;18631.0;GREEN
1352;656367.9389995578;4946450.760191332;18631.0;RED
2737;655128.5990877716;4946571.704542345;18651.0;GREEN
2740;652822.0787357499;4947264.619033705;18651.0;RED
1012;655339.4844049679;4946975.378187277;18651.0;RED
1317;656145.6964030864;4946131.52105845;18651.0;GREEN
234;655859.0109021318;4946727.7545639;18651.0;RED
237;655732.2047763302;4946414.741149341;18651.0;GREEN
1349;656346.7529963334;4946416.853964044;18651.0;RED
1352;656367.9389995578;4946450.760191332;18651.0;GREEN
2737;655128.5990877716;4946571.704542345;18671.0;RED
2740;652822.0787357499;4947264.619033705;18671.0;GREEN
1023;655423.2047331315;4947185.806566602;18671.0;GREEN
1317;656145.6964030864;4946131.52105845;18671.0;RED
234;655859.0109021318;4946727.7545639;18671.0;GREEN
237;655732.2047763302;4946414.741149341;18671.0;RED
1349;656346.7529963334;4946416.853964044;18671.0;GREEN
1352;656367.9389995578;4946450.760191332;18671.0;RED
2737;655128.5990877716;4946571.704542345;18691.0;GREEN
2740;652822.0787357499;4947264.619033705;18691.0;RED
1023;655423.2047331315;4947185.806566602;18691.0;RED
3387;653527.466424227;4946182.723026081;18691.0;GREEN
234;655859.0109021318;4946727.7545639;18691.0;RED
237;655732.2047763302;4946414.741149341;18691.0;GREEN
1349;656346.7529963334;4946416.853964044;18691.0;RED
1352;656367.9389995578;4946450.760191332;18691.0;GREEN
2737;655128.5990877716;4946571.704542345;18711.0;RED
2740;652822.0787357499;4947264.619033705;18711.0;GREEN
1012;655339.4844049679;4946975.378187277;18711.0;GREEN
3387;653527.466424227;4946182.723026081;18711.0;RED
234;655859.0109021318;4946727.7545639;18711.0;GREEN
237;655732.2047763302;4946414.741149341;18711.0;RED
1349;656346.7529963334;4946416.853964044;18711.0;GREEN
1352;656367.9389995578;4946450.760191332;18711.0;RED
2737;655128.5990877716;4946571.704542345;18731.0;GREEN
2740;652822.0787357499;4947264.619033705;18731.0;RED
1012;655339.4844049679;4946975.378187277;18731.0;RED
1317;656145.6964030864;4946131.52105845;18731.0;GREEN
234;655859.0109021318;4946727.7545639;18731.0;RED
237;655732.2047763302;4946414.741149341;18731.0;GREEN
1349;656346.7529963334;4946416.853964044;18731.0;RED
1352;656367.9389995578;4946450.760191332;18731.0;GREEN
2737;655128.5990877716;4946571.704542345;18751.0;RED
2740;652822.0787357499;4947264.619033705;18751.0;GREEN
1023;655423.2047331315;4947185.806566602;18751.0;GREEN
1317;656145.6964030864;4946131.52105845;18751.0;RED
234;655859.0109021318;4946727.7545639;18751.0;GREEN
237;655732.2047763302;4946414.741149341;18751.0;RED
1349;656346.7529963334;4946416.853964044;18751.0;GREEN
1352;656367.9389995578;4946450.760191332;18751.0;RED
2737;655128.5990877716;4946571.704542345;18771.0;GREEN
2740;652822.0787357499;4947264.619033705;18771.0;RED
1023;655423.2047331315;4947185.806566602;18771.0;RED
3387;653527.466424227;4946182.723026081;18771.0;GREEN
234;655859.0109021318;4946727.7545639;18771.0;RED
237;655732.2047763302;4946414.741149341;18771.0;GREEN
1349;656346.7529963334;4946416.853964044;18771.0;RED
1352;656367.9389995578;4946450.760191332;18771.0;GREEN
2737;655128.5990877716;4946571.704542345;18791.0;RED
2740;652822.0787357499;4947264.619033705;18791.0;GREEN
1012;655339.4844049679;4946975.378187277;18791.0;GREEN
3387;653527.466424227;4946182.723026081;18791.0;RED
234;655859.0109021318;4946727.7545639;18791.0;GREEN
237;655732.2047763302;4946414.741149341;18791.0;RED
1349;656346.7529963334;4946416.853964044;18791.0;GREEN
1352;656367.9389995578;4946450.760191332;18791.0;RED
2737;655128.5990877716;4946571.704542345;18811.0;GREEN
2740;652822.0787357499;4947264.619033705;18811.0;RED
1012;655339.4844049679;4946975.378187277;18811.0;RED
1317;656145.6964030864;4946131.52105845;18811.0;GREEN
234;655859.0109021318;4946727.7545639;18811.0;RED
237;655732.2047763302;4946414.741149341;18811.0;GREEN
1349;656346.7529963334;4946416.853964044;18811.0;RED
1352;656367.9389995578;4946450.760191332;18811.0;GREEN
2737;655128.5990877716;4946571.704542345;18831.0;RED
2740;652822.0787357499;4947264.619033705;18831.0;GREEN
1023;655423.2047331315;4947185.806566602;18831.0;GREEN
1317;656145.6964030864;4946131.52105845;18831.0;RED
234;655859.0109021318;4946727.7545639;18831.0;GREEN
237;655732.2047763302;4946414.741149341;18831.0;RED
1349;656346.7529963334;4946416.853964044;18831.0;GREEN
1352;656367.9389995578;4946450.760191332;18831.0;RED
2737;655128.5990877716;4946571.704542345;18851.0;GREEN
2740;652822.0787357499;4947264.619033705;18851.0;RED
1023;655423.2047331315;4947185.806566602;18851.0;RED
3387;653527.466424227;4946182.723026081;18851.0;GREEN
234;655859.0109021318;4946727.7545639;18851.0;RED
237;655732.2047763302;4946414.741149341;18851.0;GREEN
1349;656346.7529963334;4946416.853964044;18851.0;RED
1352;656367.9389995578;4946450.760191332;18851.0;GREEN
2737;655128.5990877716;4946571.704542345;18871.0;RED
2740;652822.0787357499;4947264.619033705;18871.0;GREEN
1012;655339.4844049679;4946975.378187277;18871.0;GREEN
3387;653527.466424227;4946182.723026081;18871.0;RED
234;655859.0109021318;4946727.7545639;18871.0;GREEN
237;655732.2047763302;4946414.741149341;18871.0;RED
1349;656346.7529963334;4946416.853964044;18871.0;GREEN
1352;656367.9389995578;4946450.760191332;18871.0;RED
2737;655128.5990877716;4946571.704542345;18891.0;GREEN
