32057324;97.0;0
219670990;20.0;0
486372123;30.0;0
38682391;11.0;0
193672369;45.0;0
193672368;20.0;0
820412643;17.0;0
820412644;14.0;0
490523258;13.0;0
36239004;82.0;0
455152176;30.0;0
664864405;32.0;0
486372137;36.0;0
32049496;100.0;0
541398620;10.0;0
194525272;41.0;0
664864406;35.0;0
623946650;52.0;0
375832987;13.0;0
193672379;33.0;0
375832988;145.0;0
193672377;36.0;0
193672374;5.0;0
375832989;27.0;0
193672373;19.0;0
35978070;58.0;0
575064165;14.0;0
643397240;250.0;0
982017349;206.0;0
983835057;134.0;0
193672389;43.0;0
193672387;31.0;0
35979711;29.0;0
193672388;20.0;0
193672385;41.0;0
193672383;22.0;0
306563388;14.0;0
193672384;17.0;0
193672381;34.0;0
193672382;10.0;0
480522142;68.0;0
193672380;13.0;0
38684207;46.0;0
289614600;22.0;0
131238197;8.0;0
473994210;56.0;0
38684202;105.0;0
442967651;45.0;0
167278847;116.0;0
32875046;66.0;0
990508251;44.0;0
490523261;15.0;0
